timestamp,sim_time_s,hip_angle_rad,knee_angle_rad,ekf_angle_rad,iq_ref,hip_torque_Nm,knee_torque_Nm
2026-07-27T16:44:44.018247,0.0280,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018256,0.0285,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018272,0.0290,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018281,0.0295,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018291,0.0300,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018300,0.0305,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018310,0.0310,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018320,0.0315,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018329,0.0320,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018339,0.0325,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018351,0.0330,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018362,0.0335,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018373,0.0340,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018385,0.0345,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018396,0.0350,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018408,0.0355,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018419,0.0360,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018431,0.0365,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018443,0.0370,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018455,0.0375,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018467,0.0380,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018478,0.0385,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018490,0.0390,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018501,0.0395,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018513,0.0400,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018524,0.0405,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018536,0.0410,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018549,0.0415,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018565,0.0420,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018581,0.0425,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018596,0.0430,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018642,0.0435,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018655,0.0440,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018668,0.0445,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018682,0.0450,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018692,0.0455,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018702,0.0460,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018712,0.0465,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018721,0.0470,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018731,0.0475,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018741,0.0480,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018751,0.0485,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
2026-07-27T16:44:44.018761,0.0490,-0.431809,-0.002467,0.000000,-2.159044,-2.266996,-1.360198
2026-07-27T16:44:44.018771,0.0495,-0.430301,-0.003290,0.000000,-2.151505,-2.259080,-1.355448
2026-07-27T16:44:44.018780,0.0500,-0.436332,0.000000,0.000000,-2.181662,-2.290745,-1.374447
2026-07-27T16:44:44.018790,0.0505,-0.434824,-0.000822,0.000000,-2.174122,-2.282828,-1.369697
2026-07-27T16:44:44.018800,0.0510,-0.433317,-0.001645,0.000000,-2.166583,-2.274912,-1.364947
