t,hip_theta_deg,hip_omega_dps,hip_alpha_dps2,hip_torque_nm,knee_theta_deg,knee_omega_dps,knee_alpha_dps2,knee_torque_nm
0.0270,5.3396,12.5656,-0.0596,1.5733,-17.6981,-7.3299,0.0348,-3.1529
0.0468,5.5886,12.5640,-0.1033,1.6385,-17.8433,-7.3290,0.0602,-3.1782
0.0669,5.8412,12.5614,-0.1476,1.7046,-17.9907,-7.3275,0.0861,-3.2039
0.0872,6.0961,12.5580,-0.1923,1.7713,-18.1394,-7.3255,0.1122,-3.2298
0.1072,6.3468,12.5537,-0.2363,1.8369,-18.2856,-7.3230,0.1378,-3.2554
0.1272,6.5982,12.5485,-0.2804,1.9026,-18.4323,-7.3200,0.1636,-3.2809
0.1471,6.8478,12.5425,-0.3242,1.9679,-18.5779,-7.3165,0.1891,-3.3063
0.1671,7.0979,12.5356,-0.3681,2.0333,-18.7238,-7.3124,0.2147,-3.3317
0.1871,7.3489,12.5278,-0.4121,2.0988,-18.8702,-7.3079,0.2404,-3.3572
0.2071,7.5997,12.5191,-0.4561,2.1644,-19.0165,-7.3028,0.2661,-3.3827
0.2271,7.8498,12.5095,-0.5000,2.2297,-19.1624,-7.2972,0.2917,-3.4081
0.2468,8.0960,12.4993,-0.5432,8.6849,-19.3060,-7.2912,0.3169,-3.3776
0.2669,8.3473,12.4879,-0.5873,8.0099,-19.4526,-7.2846,0.3426,-3.1147
0.2868,8.5954,12.4758,-0.6309,7.6338,-19.5973,-7.2775,0.3680,-2.9682
0.3068,8.8449,12.4627,-0.6746,7.6935,-19.7429,-7.2699,0.3935,-2.9914
0.3268,9.0938,12.4488,-0.7183,7.7800,-19.8881,-7.2618,0.4190,-3.0250
0.3469,9.3439,12.4339,-0.7622,7.8451,-20.0339,-7.2531,0.4446,-3.0503
0.3668,9.5912,12.4183,-0.8056,7.9017,-20.1782,-7.2440,0.4699,-3.0723
0.3868,9.8395,12.4018,-0.8491,7.9557,-20.3230,-7.2344,0.4953,-3.0933
0.4068,10.0872,12.3844,-0.8926,8.2880,-20.4675,-7.2242,0.5207,-3.2228
0.4268,10.3344,12.3661,-0.9360,8.1550,-20.6117,-7.2136,0.5460,-3.1709
0.4468,10.5821,12.3469,-0.9794,8.0389,-20.7562,-7.2024,0.5713,-3.1256
0.4669,10.8300,12.3268,-1.0229,8.4211,-20.9008,-7.1906,0.5967,-3.2745
0.4873,11.0806,12.3055,-1.0669,8.3008,-21.0470,-7.1782,0.6224,-3.2276
0.5069,11.3219,12.2842,-1.1092,8.2905,-21.1878,-7.1658,0.6471,-3.2235
0.5269,11.5674,12.2616,-1.1523,8.2076,-21.3310,-7.1526,0.6722,-3.1912
0.5467,11.8104,12.2383,-1.1949,8.1995,-21.4727,-7.1390,0.6971,-3.1880
0.5670,12.0579,12.2137,-1.2384,8.2241,-21.6171,-7.1246,0.7224,-3.1975
0.5869,12.3017,12.1885,-1.2811,8.3903,-21.7593,-7.1099,0.7473,-3.2622
0.6068,12.5428,12.1627,-1.3235,8.6046,-21.9000,-7.0949,0.7720,-3.3456
0.6269,12.7877,12.1356,-1.3664,8.4903,-22.0428,-7.0791,0.7971,-3.3011
0.6468,13.0290,12.1080,-1.4088,8.8714,-22.1836,-7.0630,0.8218,-3.4496
0.6668,13.2705,12.0794,-1.4511,8.6332,-22.3245,-7.0463,0.8465,-3.3567
0.6868,13.5117,12.0500,-1.4935,8.5584,-22.4651,-7.0292,0.8712,-3.3276
0.7069,13.7541,12.0195,-1.5360,8.5521,-22.6065,-7.0114,0.8960,-3.3251
0.7269,13.9938,11.9884,-1.5781,9.0110,-22.7464,-6.9932,0.9205,-3.5038
0.7468,14.2323,11.9565,-1.6199,8.7885,-22.8855,-6.9746,0.9449,-3.4171
0.7671,14.4742,11.9233,-1.6623,8.7199,-23.0266,-6.9552,0.9697,-3.3903
0.7868,14.7089,11.8901,-1.7035,8.8438,-23.1636,-6.9359,0.9937,-3.4385
0.8068,14.9464,11.8556,-1.7452,8.7879,-23.3021,-6.9158,1.0180,-3.4167
0.8267,15.1828,11.8203,-1.7867,8.7868,-23.4400,-6.8952,1.0422,-3.4162
0.8468,15.4190,11.7842,-1.8281,8.4369,-23.5777,-6.8741,1.0664,-3.2798
0.8673,15.6612,11.7461,-1.8706,8.3262,-23.7190,-6.8519,1.0912,-3.2366
0.8870,15.8912,11.7090,-1.9110,9.1420,-23.8532,-6.8303,1.1147,-3.5544
0.9071,16.1268,11.6701,-1.9523,9.2790,-23.9906,-6.8076,1.1388,-3.6077
0.9268,16.3558,11.6313,-1.9925,9.2435,-24.1242,-6.7849,1.1623,-3.5940
0.9470,16.5907,11.5906,-2.0337,9.1042,-24.2613,-6.7612,1.1863,-3.5397
0.9672,16.8243,11.5491,-2.0747,9.3362,-24.3975,-6.7370,1.2102,-3.6300
0.9872,17.0545,11.5073,-2.1151,9.8509,-24.5318,-6.7126,1.2338,-3.8305
1.0068,17.2797,11.4654,-2.1546,9.5189,-24.6631,-6.6882,1.2568,-3.7011
1.0268,17.5089,11.4219,-2.1948,9.4044,-24.7969,-6.6628,1.2803,-3.6565
1.0469,17.7376,11.3774,-2.2349,9.1498,-24.9303,-6.6368,1.3037,-3.5573
1.0668,17.9642,11.3324,-2.2747,9.0219,-25.0625,-6.6106,1.3269,-3.5075
1.0868,18.1900,11.2866,-2.3143,9.2531,-25.1942,-6.5839,1.3500,-3.5975
1.1068,18.4151,11.2400,-2.3538,9.7283,-25.3255,-6.5567,1.3731,-3.7826
1.1268,18.6403,11.1923,-2.3933,9.4709,-25.4568,-6.5289,1.3961,-3.6823
1.1468,18.8637,11.1440,-2.4325,9.3797,-25.5872,-6.5007,1.4190,-3.6467
1.1670,19.0879,11.0946,-2.4719,8.9599,-25.7180,-6.4719,1.4419,-3.4830
1.1868,19.3066,11.0454,-2.5102,9.6985,-25.8455,-6.4432,1.4643,-3.7708
1.2070,19.5295,10.9942,-2.5493,9.1118,-25.9756,-6.4133,1.4871,-3.5421
1.2271,19.7498,10.9426,-2.5880,9.7906,-26.1040,-6.3832,1.5097,-3.8066
1.2471,19.9688,10.8903,-2.6264,9.7067,-26.2318,-6.3527,1.5321,-3.7739
1.2670,20.1846,10.8378,-2.6643,9.6939,-26.3577,-6.3220,1.5542,-3.7689
1.2868,20.3983,10.7848,-2.7018,10.0521,-26.4823,-6.2911,1.5760,-3.9085
1.3068,20.6142,10.7301,-2.7397,9.7401,-26.6083,-6.2593,1.5981,-3.7869
1.3268,20.8275,10.6752,-2.7771,9.2090,-26.7327,-6.2272,1.6200,-3.5799
1.3472,21.0453,10.6180,-2.8153,9.4144,-26.8598,-6.1938,1.6423,-3.6599
1.3668,21.2528,10.5625,-2.8517,9.8010,-26.9808,-6.1614,1.6635,-3.8106
1.3868,21.4635,10.5050,-2.8887,9.7781,-27.1037,-6.1279,1.6851,-3.8016
1.4068,21.6731,10.4469,-2.9255,9.9685,-27.2260,-6.0940,1.7065,-3.8757
1.4268,21.8808,10.3882,-2.9619,10.0664,-27.3472,-6.0598,1.7278,-3.9138
1.4468,22.0883,10.3285,-2.9983,9.1070,-27.4682,-6.0250,1.7490,-3.5400
1.4668,22.2947,10.2680,-3.0345,9.5739,-27.5885,-5.9897,1.7701,-3.7218
1.4869,22.4996,10.2069,-3.0705,9.7994,-27.7081,-5.9540,1.7911,-3.8097
1.5068,22.7028,10.1453,-3.1061,9.8869,-27.8266,-5.9181,1.8119,-3.8438
1.5268,22.9050,10.0828,-3.1416,9.9272,-27.9446,-5.8817,1.8326,-3.8595
1.5468,23.1057,10.0197,-3.1768,9.9510,-28.0616,-5.8448,1.8531,-3.8687
1.5668,23.3058,9.9557,-3.2119,9.9687,-28.1784,-5.8075,1.8736,-3.8756
1.5868,23.5038,9.8913,-3.2467,9.9837,-28.2939,-5.7699,1.8939,-3.8814
1.6070,23.7037,9.8251,-3.2817,9.9982,-28.4105,-5.7313,1.9143,-3.8870
1.6268,23.8974,9.7599,-3.3157,10.3705,-28.5235,-5.6933,1.9342,-4.0322
1.6467,24.0909,9.6936,-3.3497,10.0396,-28.6363,-5.6546,1.9540,-3.9032
1.6667,24.2840,9.6263,-3.3836,9.9077,-28.7490,-5.6153,1.9737,-3.8517
1.6868,24.4772,9.5578,-3.4175,9.8587,-28.8617,-5.5754,1.9935,-3.8326
1.7070,24.6696,9.4884,-3.4512,9.8440,-28.9739,-5.5349,2.0132,-3.8269
1.7268,24.8563,9.4199,-3.4840,10.5692,-29.0828,-5.4950,2.0323,-4.1094
1.7468,25.0441,9.3499,-3.5169,10.1666,-29.1924,-5.4541,2.0515,-3.9526
1.7668,25.2299,9.2794,-3.5495,9.9859,-29.3008,-5.4130,2.0706,-3.8821
1.7870,25.4166,9.2074,-3.5823,9.9146,-29.4097,-5.3710,2.0897,-3.8543
1.8070,25.6001,9.1353,-3.6145,10.3953,-29.5168,-5.3290,2.1085,-4.0416
1.8271,25.7831,9.0624,-3.6466,10.3582,-29.6235,-5.2864,2.1272,-4.0271
1.8469,25.9621,8.9897,-3.6780,10.6015,-29.7279,-5.2440,2.1455,-4.1220
1.8668,26.1406,8.9161,-3.7093,10.4857,-29.8320,-5.2010,2.1638,-4.0769
1.8868,26.3178,8.8417,-3.7404,10.2106,-29.9354,-5.1577,2.1819,-3.9696
1.9068,26.4940,8.7666,-3.7713,10.1484,-30.0382,-5.1138,2.1999,-3.9453
1.9267,26.6677,8.6912,-3.8018,10.3882,-30.1395,-5.0699,2.2177,-4.0387
1.9468,26.8417,8.6145,-3.8323,10.3836,-30.2410,-5.0251,2.2355,-4.0369
1.9668,27.0128,8.5377,-3.8624,10.1168,-30.3408,-4.9803,2.2530,-3.9329
1.9869,27.1840,8.4596,-3.8924,9.9853,-30.4406,-4.9348,2.2706,-3.8817
2.0071,27.3541,8.3807,-3.9222,9.9301,-30.5399,-4.8887,2.2880,-3.8601
2.0269,27.5192,8.3027,-3.9512,10.6334,-30.6362,-4.8433,2.3049,-4.1342
2.0469,27.6842,8.2236,-3.9802,10.5380,-30.7324,-4.7971,2.3218,-4.0971
2.0668,27.8470,8.1441,-4.0087,10.2274,-30.8274,-4.7507,2.3384,-3.9760
2.0868,28.0091,8.0636,-4.0372,9.5857,-30.9220,-4.7038,2.3550,-3.7259
2.1070,28.1712,7.9818,-4.0656,9.9269,-31.0165,-4.6560,2.3716,-3.8588
2.1269,28.3295,7.9004,-4.0934,10.4018,-31.1089,-4.6086,2.3878,-4.0439
2.1469,28.4867,7.8183,-4.1210,10.5708,-31.2006,-4.5607,2.4039,-4.1098
2.1668,28.6417,7.7359,-4.1482,10.6279,-31.2910,-4.5126,2.4198,-4.1321
2.1868,28.7952,7.6529,-4.1751,10.6436,-31.3805,-4.4642,2.4355,-4.1382
2.2068,28.9475,7.5690,-4.2018,10.1762,-31.4694,-4.4153,2.4511,-3.9560
2.2268,29.0983,7.4846,-4.2283,9.9759,-31.5573,-4.3660,2.4665,-3.8779
2.2468,29.2471,7.3998,-4.2544,9.8866,-31.6441,-4.3166,2.4817,-3.8431
2.2668,29.3940,7.3146,-4.2802,9.8434,-31.7298,-4.2669,2.4968,-3.8262
2.2868,29.5392,7.2289,-4.3056,9.8191,-31.8146,-4.2168,2.5116,-3.8168
2.3068,29.6833,7.1423,-4.3309,9.8023,-31.8986,-4.1663,2.5264,-3.8102
2.3267,29.8247,7.0557,-4.3557,9.7881,-31.9811,-4.1159,2.5408,-3.8047
2.3470,29.9667,6.9673,-4.3806,9.3516,-32.0639,-4.0643,2.5554,-3.6346
2.3671,30.1057,6.8791,-4.4050,10.1142,-32.1450,-4.0128,2.5696,-3.9317
2.3872,30.2433,6.7902,-4.4292,10.3825,-32.2252,-3.9610,2.5837,-4.0363
2.4070,30.3768,6.7023,-4.4526,10.4697,-32.3031,-3.9097,2.5974,-4.0703
2.4268,30.5090,6.6136,-4.4758,10.0259,-32.3803,-3.8580,2.6109,-3.8974
2.4467,30.6397,6.5244,-4.4987,10.1035,-32.4565,-3.8059,2.6243,-3.9276
2.4668,30.7695,6.4340,-4.5215,10.1373,-32.5322,-3.7532,2.6375,-3.9407
2.4868,30.8975,6.3432,-4.5440,9.8776,-32.6069,-3.7002,2.6507,-3.8396
2.5071,31.0253,6.2507,-4.5664,9.3113,-32.6814,-3.6463,2.6637,-3.6190
2.5275,31.1521,6.1572,-4.5886,10.0119,-32.7554,-3.5917,2.6767,-3.8919
2.5468,31.2699,6.0686,-4.6093,10.3696,-32.8241,-3.5400,2.6888,-4.0313
2.5672,31.3926,5.9745,-4.6308,9.9943,-32.8957,-3.4851,2.7013,-3.8851
2.5868,31.5088,5.8835,-4.6512,10.4041,-32.9635,-3.4320,2.7132,-4.0447
2.6068,31.6256,5.7902,-4.6717,10.1448,-33.0316,-3.3776,2.7252,-3.9437
2.6271,31.7423,5.6950,-4.6922,9.7960,-33.0997,-3.3221,2.7371,-3.8078
2.6468,31.8533,5.6027,-4.7117,10.1000,-33.1644,-3.2682,2.7485,-3.9263
2.6671,31.9661,5.5068,-4.7315,10.0594,-33.2302,-3.2123,2.7600,-3.9105
2.6869,32.0742,5.4129,-4.7504,9.4845,-33.2933,-3.1575,2.7711,-3.6866
2.7069,32.1814,5.3179,-4.7692,9.5445,-33.3558,-3.1021,2.7821,-3.7100
2.7269,32.2869,5.2222,-4.7877,9.8433,-33.4173,-3.0463,2.7929,-3.8263
2.7468,32.3898,5.1267,-4.8058,9.3444,-33.4774,-2.9906,2.8034,-3.6322
2.7668,32.4917,5.0301,-4.8237,9.1842,-33.5368,-2.9342,2.8138,-3.5699
2.7868,32.5912,4.9337,-4.8411,9.1014,-33.5948,-2.8780,2.8240,-3.5378
2.8069,32.6894,4.8361,-4.8584,9.3177,-33.6522,-2.8211,2.8341,-3.6219
2.8268,32.7847,4.7393,-4.8751,9.4180,-33.7077,-2.7646,2.8438,-3.6610
2.8468,32.8783,4.6418,-4.8915,9.7797,-33.7624,-2.7077,2.8534,-3.8016
2.8669,32.9706,4.5433,-4.9077,9.8910,-33.8162,-2.6503,2.8628,-3.8449
2.8870,33.0610,4.4444,-4.9236,9.4674,-33.8689,-2.5926,2.8721,-3.6803
2.9068,33.1483,4.3466,-4.9389,9.7344,-33.9198,-2.5355,2.8810,-3.7841
2.9268,33.2341,4.2477,-4.9540,9.3647,-33.9699,-2.4778,2.8898,-3.6404
2.9468,33.3181,4.1484,-4.9687,9.1910,-34.0189,-2.4199,2.8984,-3.5729
2.9670,33.4007,4.0482,-4.9832,9.0988,-34.0671,-2.3614,2.9069,-3.5371
2.9869,33.4803,3.9489,-4.9971,9.5093,-34.1135,-2.3035,2.9150,-3.6967
3.0069,33.5583,3.8487,-5.0108,9.1918,-34.1590,-2.2451,2.9230,-3.5733
3.0267,33.6337,3.7492,-5.0241,9.0384,-34.2030,-2.1870,2.9307,-3.5137
3.0470,33.7085,3.6474,-5.0372,8.9536,-34.2466,-2.1276,2.9384,-3.4808
3.0670,33.7805,3.5465,-5.0498,9.3588,-34.2886,-2.0688,2.9457,-3.6383
3.0868,33.8498,3.4463,-5.0620,9.4808,-34.3291,-2.0103,2.9528,-3.6858
3.1069,33.9182,3.3442,-5.0740,9.0732,-34.3689,-1.9508,2.9598,-3.5274
3.1268,33.9836,3.2433,-5.0855,9.3245,-34.4071,-1.8919,2.9665,-3.6251
3.1469,34.0478,3.1409,-5.0967,8.9628,-34.4445,-1.8322,2.9731,-3.4845
3.1669,34.1095,3.0390,-5.1075,9.2305,-34.4805,-1.7728,2.9794,-3.5886
3.1868,34.1689,2.9374,-5.1180,8.8768,-34.5152,-1.7135,2.9855,-3.4511
3.2067,34.2265,2.8351,-5.1281,8.7051,-34.5488,-1.6538,2.9914,-3.3844
3.2270,34.2829,2.7312,-5.1380,8.8589,-34.5817,-1.5932,2.9971,-3.4442
3.2468,34.3360,2.6293,-5.1473,8.6684,-34.6127,-1.5337,3.0026,-3.3702
3.2668,34.3877,2.5259,-5.1564,8.5446,-34.6428,-1.4734,3.0079,-3.3220
3.2869,34.4372,2.4226,-5.1650,8.4675,-34.6717,-1.4132,3.0129,-3.2921
3.3074,34.4859,2.3165,-5.1736,8.4100,-34.7001,-1.3513,3.0179,-3.2698
3.3268,34.5299,2.2159,-5.1813,8.7966,-34.7258,-1.2926,3.0224,-3.4201
3.3468,34.5731,2.1125,-5.1889,8.4951,-34.7510,-1.2323,3.0268,-3.3029
3.3668,34.6143,2.0086,-5.1961,8.3422,-34.7750,-1.1717,3.0311,-3.2435
3.3868,34.6534,1.9047,-5.2030,8.2517,-34.7978,-1.1111,3.0351,-3.2083
3.4068,34.6905,1.8003,-5.2095,8.4276,-34.8195,-1.0502,3.0389,-3.2768
3.4267,34.7253,1.6965,-5.2156,8.4733,-34.8398,-0.9896,3.0424,-3.2946
3.4469,34.7585,1.5912,-5.2214,8.4557,-34.8591,-0.9282,3.0458,-3.2878
3.4669,34.7893,1.4867,-5.2268,8.0001,-34.8771,-0.8673,3.0490,-3.1106
3.4868,34.8179,1.3827,-5.2318,8.0522,-34.8937,-0.8066,3.0519,-3.1309
3.5069,34.8446,1.2775,-5.2365,8.0722,-34.9093,-0.7452,3.0546,-3.1387
3.5269,34.8691,1.1728,-5.2408,8.0448,-34.9236,-0.6841,3.0571,-3.1281
3.5468,34.8914,1.0684,-5.2447,7.5461,-34.9366,-0.6232,3.0594,-2.9338
3.5668,34.9117,0.9634,-5.2483,7.6622,-34.9485,-0.5620,3.0615,-2.9790
3.5868,34.9299,0.8585,-5.2515,7.9167,-34.9591,-0.5008,3.0634,-3.0783
3.6067,34.9460,0.7538,-5.2543,7.7750,-34.9685,-0.4397,3.0650,-3.0231
3.6269,34.9601,0.6476,-5.2568,7.6666,-34.9767,-0.3778,3.0665,-2.9809
3.6471,34.9721,0.5415,-5.2589,7.8110,-34.9837,-0.3159,3.0677,-3.0372
3.6672,34.9819,0.4359,-5.2606,7.3883,-34.9895,-0.2543,3.0687,-2.8725
3.6868,34.9895,0.3326,-5.2619,7.5291,-34.9939,-0.1940,3.0695,-2.9274
3.7068,34.9951,0.2275,-5.2629,7.1043,-34.9971,-0.1327,3.0700,-2.7619
3.7272,34.9986,0.1198,-5.2635,6.9102,-34.9992,-0.0699,3.0704,-2.6862
3.7468,35.0000,0.0167,-5.2638,7.7016,-35.0000,-0.0098,3.0705,-2.9947
3.7669,34.9993,-0.0887,-5.2637,6.8590,-34.9996,0.0517,3.0705,-2.6663
3.7867,34.9965,-0.1932,-5.2632,7.2441,-34.9979,0.1127,3.0702,-2.8164
3.8068,34.9915,-0.2989,-5.2623,7.1730,-34.9950,0.1744,3.0697,-2.7888
3.8268,34.9845,-0.4040,-5.2611,7.0910,-34.9910,0.2357,3.0690,-2.7568
3.8469,34.9753,-0.5097,-5.2595,7.0224,-34.9856,0.2973,3.0680,-2.7301
3.8668,34.9641,-0.6147,-5.2575,6.7609,-34.9791,0.3585,3.0669,-2.6282
3.8868,34.9508,-0.7197,-5.2551,6.8949,-34.9713,0.4198,3.0655,-2.6805
3.9068,34.9353,-0.8247,-5.2524,6.9348,-34.9623,0.4810,3.0639,-2.6962
3.9269,34.9177,-0.9304,-5.2493,6.9077,-34.9520,0.5427,3.0621,-2.6856
3.9469,34.8980,-1.0353,-5.2459,6.8571,-34.9405,0.6039,3.0601,-2.6660
3.9669,34.8763,-1.1401,-5.2421,6.7148,-34.9278,0.6650,3.0579,-2.6105
3.9869,34.8524,-1.2451,-5.2379,6.3200,-34.9139,0.7263,3.0554,-2.4567
4.0068,34.8266,-1.3493,-5.2334,6.7765,-34.8988,0.7871,3.0528,-2.6346
4.0268,34.7986,-1.4537,-5.2285,6.5725,-34.8825,0.8480,3.0499,-2.5552
4.0469,34.7683,-1.5589,-5.2231,6.4505,-34.8648,0.9093,3.0468,-2.5076
4.0668,34.7363,-1.6625,-5.2175,6.3626,-34.8462,0.9698,3.0436,-2.4734
4.0867,34.7021,-1.7666,-5.2115,6.2885,-34.8262,1.0305,3.0401,-2.4446
4.1069,34.6654,-1.8716,-5.2051,5.9377,-34.8048,1.0918,3.0363,-2.3079
4.1267,34.6272,-1.9749,-5.1984,6.3748,-34.7825,1.1520,3.0324,-2.4783
4.1467,34.5867,-2.0787,-5.1913,6.3423,-34.7589,1.2126,3.0282,-2.4657
4.1668,34.5439,-2.1829,-5.1838,6.1413,-34.7339,1.2734,3.0239,-2.3874
4.1867,34.4994,-2.2860,-5.1760,6.0058,-34.7080,1.3335,3.0193,-2.3346
4.2068,34.4526,-2.3896,-5.1677,5.9105,-34.6807,1.3940,3.0145,-2.2975
4.2267,34.4039,-2.4927,-5.1592,5.8315,-34.6522,1.4541,3.0095,-2.2667
4.2467,34.3529,-2.5959,-5.1503,5.7592,-34.6225,1.5143,3.0043,-2.2386
4.2668,34.2997,-2.6993,-5.1409,5.6897,-34.5915,1.5746,2.9989,-2.2115
4.2868,34.2449,-2.8016,-5.1313,5.6211,-34.5595,1.6343,2.9933,-2.1848
4.3067,34.1879,-2.9041,-5.1213,5.5524,-34.5263,1.6941,2.9874,-2.1581
4.3268,34.1287,-3.0066,-5.1109,5.4835,-34.4917,1.7538,2.9814,-2.1313
4.3467,34.0677,-3.1085,-5.1002,5.1662,-34.4561,1.8133,2.9751,-2.0077
4.3668,34.0042,-3.2108,-5.0891,5.2161,-34.4191,1.8730,2.9686,-2.0273
4.3867,33.9392,-3.3121,-5.0777,5.3946,-34.3812,1.9320,2.9620,-2.0969
4.4068,33.8718,-3.4138,-5.0658,5.1287,-34.3419,1.9914,2.9551,-1.9932
4.4268,33.8026,-3.5149,-5.0537,5.0180,-34.3015,2.0504,2.9480,-1.9501
4.4470,33.7306,-3.6168,-5.0411,5.0679,-34.2595,2.1098,2.9406,-1.9696
4.4668,33.6577,-3.7169,-5.0283,5.2583,-34.2170,2.1682,2.9332,-2.0439
4.4871,33.5814,-3.8186,-5.0149,5.1541,-34.1725,2.2275,2.9253,-2.0034
4.5072,33.5037,-3.9191,-5.0013,5.2905,-34.1272,2.2861,2.9174,-2.0567
4.5268,33.4257,-4.0172,-4.9876,5.2031,-34.0817,2.3434,2.9094,-2.0227
4.5469,33.3440,-4.1173,-4.9732,4.8815,-34.0340,2.4018,2.9011,-1.8973
4.5669,33.2608,-4.2165,-4.9586,4.7048,-33.9855,2.4596,2.8925,-1.8284
4.5868,33.1757,-4.3153,-4.9437,4.7122,-33.9358,2.5173,2.8838,-1.8314
4.6071,33.0871,-4.4155,-4.9281,4.6727,-33.8841,2.5757,2.8748,-1.8162
4.6271,32.9980,-4.5137,-4.9125,4.5489,-33.8321,2.6330,2.8656,-1.7679
4.6468,32.9079,-4.6105,-4.8967,4.4405,-33.7796,2.6894,2.8564,-1.7257
4.6670,32.8141,-4.7089,-4.8803,4.1010,-33.7249,2.7469,2.8468,-1.5934
4.6870,32.7188,-4.8065,-4.8635,4.3506,-33.6693,2.8038,2.8371,-1.6907
4.7072,32.6207,-4.9046,-4.8463,4.3237,-33.6121,2.8610,2.8270,-1.6804
4.7268,32.5237,-4.9994,-4.8293,4.3368,-33.5555,2.9163,2.8171,-1.6856
4.7469,32.4224,-5.0961,-4.8115,4.1139,-33.4964,2.9727,2.8067,-1.5987
4.7668,32.3196,-5.1921,-4.7935,3.9865,-33.4364,3.0287,2.7962,-1.5491
4.7868,32.2150,-5.2875,-4.7751,3.8915,-33.3754,3.0844,2.7855,-1.5121
4.8068,32.1084,-5.3828,-4.7564,3.8075,-33.3132,3.1399,2.7746,-1.4794
4.8271,31.9982,-5.4791,-4.7371,3.7265,-33.2490,3.1961,2.7633,-1.4479
4.8470,31.8880,-5.5734,-4.7178,3.5573,-33.1847,3.2511,2.7520,-1.3820
4.8669,31.7764,-5.6668,-4.6982,3.5218,-33.1196,3.3057,2.7406,-1.3682
4.8868,31.6626,-5.7603,-4.6782,3.2661,-33.0532,3.3602,2.7290,-1.2686
4.9068,31.5463,-5.8537,-4.6578,3.2789,-32.9853,3.4147,2.7171,-1.2736
4.9268,31.4283,-5.9467,-4.6371,3.4179,-32.9165,3.4689,2.7050,-1.3279
4.9469,31.3080,-6.0396,-4.6160,3.2510,-32.8463,3.5231,2.6927,-1.2628
4.9668,31.1870,-6.1311,-4.5948,3.3000,-32.7758,3.5765,2.6803,-1.2820
4.9868,31.0634,-6.2229,-4.5731,2.9557,-32.7036,3.6300,2.6676,-1.1479
5.0068,30.9382,-6.3140,-4.5511,2.9203,-32.6306,3.6832,2.6548,-1.1341
5.0268,30.8109,-6.4048,-4.5288,3.1471,-32.5564,3.7361,2.6418,-1.2222
5.0469,30.6814,-6.4955,-4.5061,2.8988,-32.4808,3.7891,2.6285,-1.1257
5.0668,30.5506,-6.5854,-4.4831,2.8226,-32.4045,3.8415,2.6151,-1.0963
5.0869,30.4180,-6.6749,-4.4598,2.5495,-32.3271,3.8937,2.6016,-0.9899
5.1067,30.2846,-6.7632,-4.4364,2.5188,-32.2493,3.9452,2.5879,-0.9780
5.1268,30.1475,-6.8523,-4.4124,2.3360,-32.1694,3.9972,2.5739,-0.9068
5.1468,30.0101,-6.9400,-4.3883,2.2203,-32.0892,4.0483,2.5598,-0.8618
5.1669,29.8694,-7.0281,-4.3636,2.2404,-32.0072,4.0997,2.5454,-0.8696
5.1867,29.7292,-7.1144,-4.3390,2.3286,-31.9253,4.1501,2.5311,-0.9041
5.2067,29.5860,-7.2009,-4.3138,2.1919,-31.8418,4.2005,2.5164,-0.8508
5.2270,29.4394,-7.2879,-4.2881,2.0870,-31.7563,4.2513,2.5014,-0.8100
5.2471,29.2921,-7.3739,-4.2623,2.0159,-31.6704,4.3014,2.4863,-0.7824
5.2674,29.1416,-7.4601,-4.2359,1.9364,-31.5826,4.3517,2.4709,-0.7516
5.2873,28.9921,-7.5442,-4.2096,1.8543,-31.4954,4.4008,2.4556,-0.7196
5.3071,28.8421,-7.6272,-4.1833,1.7721,-31.4079,4.4492,2.4403,-0.6876
5.3270,28.6890,-7.7105,-4.1565,1.6046,-31.3186,4.4978,2.4246,-0.6225
5.3471,28.5334,-7.7936,-4.1292,1.6492,-31.2278,4.5463,2.4087,-0.6398
5.3668,28.3791,-7.8747,-4.1021,1.6099,-31.1378,4.5936,2.3929,-0.6246
5.3871,28.2180,-7.9579,-4.0738,1.4889,-31.0439,4.6421,2.3764,-0.5776
5.4067,28.0615,-8.0373,-4.0464,1.3760,-30.9525,4.6884,2.3604,-0.5336
5.4270,27.8973,-8.1193,-4.0175,1.1969,-30.8567,4.7362,2.3436,-0.4638
5.4470,27.7347,-8.1991,-3.9890,1.2188,-30.7619,4.7828,2.3269,-0.4724
5.4672,27.5683,-8.2793,-3.9598,1.0791,-30.6648,4.8296,2.3099,-0.4182
5.4869,27.4038,-8.3574,-3.9310,1.0405,-30.5689,4.8751,2.2931,-0.4033
5.5068,27.2374,-8.4350,-3.9018,0.9960,-30.4718,4.9204,2.2760,-0.3858
5.5274,27.0621,-8.5153,-3.8710,0.8710,-30.3696,4.9673,2.2581,-0.3371
5.5471,26.8940,-8.5911,-3.8415,0.7715,-30.2715,5.0115,2.2409,-0.2984
5.5668,26.7239,-8.6666,-3.8117,0.7154,-30.1723,5.0555,2.2235,-0.2766
5.5868,26.5502,-8.7423,-3.7812,0.6077,-30.0709,5.0997,2.2057,-0.2347
5.6068,26.3744,-8.8177,-3.7503,0.4772,-29.9684,5.1437,2.1877,-0.1839
5.6273,26.1930,-8.8942,-3.7185,0.3786,-29.8626,5.1883,2.1691,-0.1456
5.6469,26.0181,-8.9668,-3.6878,0.3259,-29.7605,5.2306,2.1512,-0.1251
5.6668,25.8385,-9.0400,-3.6563,0.2773,-29.6558,5.2733,2.1329,-0.1062
5.6869,25.6562,-9.1131,-3.6243,0.1867,-29.5495,5.3160,2.1142,-0.0709
